name,size,duration,duration(s),speed,size_per_sec
Keccak384,64,900ns,0.0000009,67.82MB/s,71111111.1111111
Keccak512,64,1.2µs,0.0000012,50.86MB/s,53333333.333333336
Keccak256Full,64,1.5µs,0.0000015,40.69MB/s,42666666.666666664
Sha3_224,64,800ns,0.0000008,76.29MB/s,80000000
Sha3_256,64,700ns,0.0000007,87.19MB/s,91428571.42857143
Sha3_384,64,800ns,0.0000008,76.29MB/s,80000000
Sha3_512,64,700ns,0.0000007,87.19MB/s,91428571.42857143
Sha224,64,600ns,0.0000006,101.73MB/s,106666666.66666667
Sha256,64,400ns,0.0000004,152.59MB/s,160000000
Sha384,64,1.5µs,0.0000015,40.69MB/s,42666666.666666664
Sha512,64,700ns,0.0000007,87.19MB/s,91428571.42857143
Sha512_224,64,500ns,0.0000005,122.07MB/s,128000000
Sha512_256,64,500ns,0.0000005,122.07MB/s,128000000
sm3,64,1.6µs,0.0000016,38.15MB/s,40000000
crc<u16>,64,500ns,0.0000005,122.07MB/s,128000000
crc<u32>,64,800ns,0.0000008,76.29MB/s,80000000
crc<u64>,64,1µs,0.000001,61.04MB/s,64000000
crc16,64,800ns,0.0000008,76.29MB/s,80000000
crc32fast,64,22.6µs,0.0000226,2.70MB/s,2831858.407079646
crc64,64,1.1µs,0.0000011,55.49MB/s,58181818.18181818
sha256,64,600ns,0.0000006,101.73MB/s,106666666.66666667
twox_hash::XxHash32,64,100ns,0.0000001,610.35MB/s,640000000
twox_hash::XxHash64,64,200ns,0.0000002,305.18MB/s,320000000
twox_hash::XxHash3_64,64,300ns,0.0000003,203.45MB/s,213333333.33333334
twox_hash::XxHash3_128,64,400ns,0.0000004,152.59MB/s,160000000
seahash,64,200ns,0.0000002,305.18MB/s,320000000
xxhash::xxh32,64,100ns,0.0000001,610.35MB/s,640000000
xxhash::xxh64,64,300ns,0.0000003,203.45MB/s,213333333.33333334
xxhash::xxh3_64_with_seed,64,100ns,0.0000001,610.35MB/s,640000000
xxhash::xxh3_128_with_seed,64,200ns,0.0000002,305.18MB/s,320000000
xxhash::const_xxh32,64,100ns,0.0000001,610.35MB/s,640000000
xxhash::const_xxh64,64,200ns,0.0000002,305.18MB/s,320000000
xxhash::const_xxh3_64_with_seed,64,400ns,0.0000004,152.59MB/s,160000000
xxhash::const_xxh3_128_with_seed,64,500ns,0.0000005,122.07MB/s,128000000
murmur3_32,64,300ns,0.0000003,203.45MB/s,213333333.33333334
murmur3_x64_128,64,200ns,0.0000002,305.18MB/s,320000000
murmur3_x86_128,64,200ns,0.0000002,305.18MB/s,320000000
murmur3_32_of_slice,64,100ns,0.0000001,610.35MB/s,640000000
murmur3_x64_128_of_slice,64,100ns,0.0000001,610.35MB/s,640000000
murmur3_x86_128_of_slice,64,200ns,0.0000002,305.18MB/s,320000000
md5_compute,128,2.3µs,0.0000023,53.07MB/s,55652173.91304348
Blake2b512,128,2.5µs,0.0000025,48.83MB/s,51200000
Blake2s256,128,1.9µs,0.0000019,64.25MB/s,67368421.05263157
Sha1,128,1.4µs,0.0000014,87.19MB/s,91428571.42857143
Keccak224,128,2µs,0.000002,61.04MB/s,64000000
Keccak256,128,800ns,0.0000008,152.59MB/s,160000000
Keccak384,128,1.3µs,0.0000013,93.90MB/s,98461538.46153846
Keccak512,128,1.3µs,0.0000013,93.90MB/s,98461538.46153846
Keccak256Full,128,1.8µs,0.0000018,67.82MB/s,71111111.1111111
Sha3_224,128,800ns,0.0000008,152.59MB/s,160000000
Sha3_256,128,900ns,0.0000009,135.63MB/s,142222222.2222222
Sha3_384,128,1.1µs,0.0000011,110.97MB/s,116363636.36363636
Sha3_512,128,1.1µs,0.0000011,110.97MB/s,116363636.36363636
Sha224,128,1.5µs,0.0000015,81.38MB/s,85333333.33333333
Sha256,128,800ns,0.0000008,152.59MB/s,160000000
Sha384,128,3.4µs,0.0000034,35.90MB/s,37647058.823529415
Sha512,128,1.4µs,0.0000014,87.19MB/s,91428571.42857143
Sha512_224,128,1.5µs,0.0000015,81.38MB/s,85333333.33333333
Sha512_256,128,1.1µs,0.0000011,110.97MB/s,116363636.36363636
sm3,128,4.3µs,0.0000043,28.39MB/s,29767441.860465117
crc<u16>,128,900ns,0.0000009,135.63MB/s,142222222.2222222
crc<u32>,128,1.1µs,0.0000011,110.97MB/s,116363636.36363636
crc<u64>,128,1.5µs,0.0000015,81.38MB/s,85333333.33333333
crc16,128,1.7µs,0.0000017,71.81MB/s,75294117.64705883
crc32fast,128,600ns,0.0000006,203.45MB/s,213333333.33333334
crc64,128,5µs,0.000005,24.41MB/s,25600000
sha256,128,2.2µs,0.0000022,55.49MB/s,58181818.18181818
twox_hash::XxHash32,128,200ns,0.0000002,610.35MB/s,640000000
twox_hash::XxHash64,128,500ns,0.0000005,244.14MB/s,256000000
twox_hash::XxHash3_64,128,900ns,0.0000009,135.63MB/s,142222222.2222222
twox_hash::XxHash3_128,128,1µs,0.000001,122.07MB/s,128000000
seahash,128,500ns,0.0000005,244.14MB/s,256000000
xxhash::xxh32,128,300ns,0.0000003,406.90MB/s,426666666.6666667
xxhash::xxh64,128,600ns,0.0000006,203.45MB/s,213333333.33333334
xxhash::xxh3_64_with_seed,128,200ns,0.0000002,610.35MB/s,640000000
xxhash::xxh3_128_with_seed,128,1.7µs,0.0000017,71.81MB/s,75294117.64705883
xxhash::const_xxh32,128,800ns,0.0000008,152.59MB/s,160000000
xxhash::const_xxh64,128,1µs,0.000001,122.07MB/s,128000000
xxhash::const_xxh3_64_with_seed,128,2.5µs,0.0000025,48.83MB/s,51200000
xxhash::const_xxh3_128_with_seed,128,1.9µs,0.0000019,64.25MB/s,67368421.05263157
murmur3_32,128,700ns,0.0000007,174.39MB/s,182857142.85714287
murmur3_x64_128,128,600ns,0.0000006,203.45MB/s,213333333.33333334
murmur3_x86_128,128,600ns,0.0000006,203.45MB/s,213333333.33333334
murmur3_32_of_slice,128,1µs,0.000001,122.07MB/s,128000000
murmur3_x64_128_of_slice,128,400ns,0.0000004,305.18MB/s,320000000
murmur3_x86_128_of_slice,128,500ns,0.0000005,244.14MB/s,256000000
md5_compute,256,1.8µs,0.0000018,135.63MB/s,142222222.2222222
Blake2b512,256,2.5µs,0.0000025,97.66MB/s,102400000
Blake2s256,256,1.7µs,0.0000017,143.61MB/s,150588235.29411766
Sha1,256,1.5µs,0.0000015,162.76MB/s,170666666.66666666
Keccak224,256,2µs,0.000002,122.07MB/s,128000000
Keccak256,256,1.3µs,0.0000013,187.80MB/s,196923076.92307693
Keccak384,256,1.6µs,0.0000016,152.59MB/s,160000000
