name,size,duration,duration(s),speed,size_per_sec
Sha3_224,32,1.259µs,0.000001259,24.24MB/s,25416997.617156472
Sha3_256,32,10.701µs,0.000010701,2.85MB/s,2990374.7313335203
Sha3_384,32,1.432µs,0.000001432,21.31MB/s,22346368.7150838
Sha3_512,32,1.625µs,0.000001625,18.78MB/s,19692307.692307692
Sha224,32,1.47µs,0.00000147,20.76MB/s,21768707.482993197
Sha256,32,1.081µs,0.000001081,28.23MB/s,29602220.16651249
Sha384,32,1.354µs,0.000001354,22.54MB/s,23633677.99113737
Sha512,32,1.473µs,0.000001473,20.72MB/s,21724372.029871013
Sha512_224,32,1.189µs,0.000001189,25.67MB/s,26913372.582001682
Sha512_256,32,1.262µs,0.000001262,24.18MB/s,25356576.862123612
sm3,32,1.449µs,0.000001449,21.06MB/s,22084195.997239474
crc<u16>,32,536ns,0.000000536,56.94MB/s,59701492.53731343
crc<u32>,32,644ns,0.000000644,47.39MB/s,49689440.99378882
crc<u64>,32,1.242µs,0.000001242,24.57MB/s,25764895.33011272
crc16,32,388ns,0.000000388,78.65MB/s,82474226.80412371
crc32fast,32,576ns,0.000000576,52.98MB/s,55555555.55555555
crc64,32,622ns,0.000000622,49.06MB/s,51446945.33762058
sha256,32,1.143µs,0.000001143,26.70MB/s,27996500.43744532
twox_hash::XxHash32,32,138ns,0.000000138,221.14MB/s,231884057.9710145
twox_hash::XxHash64,32,217ns,0.000000217,140.63MB/s,147465437.78801844
twox_hash::XxHash3_64,32,252ns,0.000000252,121.10MB/s,126984126.98412699
twox_hash::XxHash3_128,32,290ns,0.00000029,105.23MB/s,110344827.5862069
seahash,32,178ns,0.000000178,171.45MB/s,179775280.8988764
xxhash::xxh32,32,168ns,0.000000168,181.65MB/s,190476190.47619048
xxhash::xxh64,32,282ns,0.000000282,108.22MB/s,113475177.30496454
xxhash::xxh3_64_with_seed,32,299ns,0.000000299,102.07MB/s,107023411.37123746
xxhash::xxh3_128_with_seed,32,223ns,0.000000223,136.85MB/s,143497757.84753364
xxhash::const_xxh32,32,208ns,0.000000208,146.72MB/s,153846153.84615386
xxhash::const_xxh64,32,7.113µs,0.000007113,4.29MB/s,4498805.004920568
xxhash::const_xxh3_64_with_seed,32,827ns,0.000000827,36.90MB/s,38694074.96977025
xxhash::const_xxh3_128_with_seed,32,827ns,0.000000827,36.90MB/s,38694074.96977025
murmur3_32,32,281ns,0.000000281,108.60MB/s,113879003.55871886
murmur3_x64_128,32,277ns,0.000000277,110.17MB/s,115523465.70397112
murmur3_x86_128,32,297ns,0.000000297,102.75MB/s,107744107.74410774
murmur3_32_of_slice,32,191ns,0.000000191,159.78MB/s,167539267.0157068
murmur3_x64_128_of_slice,32,178ns,0.000000178,171.45MB/s,179775280.8988764
murmur3_x86_128_of_slice,32,159ns,0.000000159,191.93MB/s,201257861.63522014
md5_compute,64,832ns,0.000000832,73.36MB/s,76923076.92307693
Blake2b512,64,2.086µs,0.000002086,29.26MB/s,30680728.66730585
Blake2s256,64,1.163µs,0.000001163,52.48MB/s,55030094.58297507
Sha1,64,1.295µs,0.000001295,47.13MB/s,49420849.42084942
Keccak224,64,1.883µs,0.000001883,32.41MB/s,33988316.516197555
Keccak256,64,1.84µs,0.00000184,33.17MB/s,34782608.69565217
Keccak384,64,1.963µs,0.000001963,31.09MB/s,32603158.430973
Keccak512,64,2.152µs,0.000002152,28.36MB/s,29739776.951672863
Keccak256Full,64,3.834µs,0.000003834,15.92MB/s,16692749.087115284
Sha3_224,64,2.031µs,0.000002031,30.05MB/s,31511570.654849827
Sha3_256,64,1.833µs,0.000001833,33.30MB/s,34915439.17075832
Sha3_384,64,1.963µs,0.000001963,31.09MB/s,32603158.430973
Sha3_512,64,2.163µs,0.000002163,28.22MB/s,29588534.442903373
Sha224,64,3.007µs,0.000003007,20.30MB/s,21283671.433322247
Sha256,64,1.535µs,0.000001535,39.76MB/s,41693811.07491857
Sha384,64,1.793µs,0.000001793,34.04MB/s,35694366.98271054
Sha512,64,1.572µs,0.000001572,38.83MB/s,40712468.19338422
Sha512_224,64,1.092µs,0.000001092,55.89MB/s,58608058.60805861
Sha512_256,64,1.121µs,0.000001121,54.45MB/s,57091882.247992866
sm3,64,2.16µs,0.00000216,28.26MB/s,29629629.62962963
crc<u16>,64,646ns,0.000000646,94.48MB/s,99071207.43034056
crc<u32>,64,780ns,0.00000078,78.25MB/s,82051282.05128205
crc<u64>,64,1.631µs,0.000001631,37.42MB/s,39239730.22685469
crc16,64,430ns,0.00000043,141.94MB/s,148837209.30232558
crc32fast,64,907ns,0.000000907,67.29MB/s,70562293.27453142
crc64,64,615ns,0.000000615,99.24MB/s,104065040.65040651
sha256,64,1.995µs,0.000001995,30.59MB/s,32080200.50125313
twox_hash::XxHash32,64,143ns,0.000000143,426.82MB/s,447552447.55244756
twox_hash::XxHash64,64,272ns,0.000000272,224.39MB/s,235294117.6470588
twox_hash::XxHash3_64,64,233ns,0.000000233,261.95MB/s,274678111.58798283
twox_hash::XxHash3_128,64,208ns,0.000000208,293.44MB/s,307692307.6923077
seahash,64,194ns,0.000000194,314.61MB/s,329896907.21649486
xxhash::xxh32,64,200ns,0.0000002,305.18MB/s,320000000
xxhash::xxh64,64,437ns,0.000000437,139.67MB/s,146453089.24485126
xxhash::xxh3_64_with_seed,64,151ns,0.000000151,404.21MB/s,423841059.60264903
xxhash::xxh3_128_with_seed,64,268ns,0.000000268,227.74MB/s,238805970.14925373
xxhash::const_xxh32,64,241ns,0.000000241,253.26MB/s,265560165.97510374
xxhash::const_xxh64,64,266ns,0.000000266,229.46MB/s,240601503.7593985
xxhash::const_xxh3_64_with_seed,64,424ns,0.000000424,143.95MB/s,150943396.2264151
xxhash::const_xxh3_128_with_seed,64,681ns,0.000000681,89.63MB/s,93979441.99706315
murmur3_32,64,355ns,0.000000355,171.93MB/s,180281690.14084506
murmur3_x64_128,64,304ns,0.000000304,200.77MB/s,210526315.78947368
murmur3_x86_128,64,286ns,0.000000286,213.41MB/s,223776223.77622378
murmur3_32_of_slice,64,226ns,0.000000226,270.07MB/s,283185840.7079646
murmur3_x64_128_of_slice,64,157ns,0.000000157,388.76MB/s,407643312.1019108
murmur3_x86_128_of_slice,64,195ns,0.000000195,313.00MB/s,328205128.2051282
md5_compute,128,894ns,0.000000894,136.54MB/s,143176733.78076062
Blake2b512,128,1.917µs,0.000001917,63.68MB/s,66770996.348461136
Blake2s256,128,1.417µs,0.000001417,86.15MB/s,90331686.6619619
Sha1,128,1.346µs,0.000001346,90.69MB/s,95096582.4665676
Keccak224,128,1.602µs,0.000001602,76.20MB/s,79900124.84394507
Keccak256,128,1.474µs,0.000001474,82.82MB/s,86838534.59972863
Keccak384,128,2.25µs,0.00000225,54.25MB/s,56888888.88888889
Keccak512,128,2.811µs,0.000002811,43.43MB/s,45535396.65599431
Keccak256Full,128,3.205µs,0.000003205,38.09MB/s,39937597.503900155
Sha3_224,128,1.37µs,0.00000137,89.10MB/s,93430656.93430656
Sha3_256,128,1.496µs,0.000001496,81.60MB/s,85561497.32620321
Sha3_384,128,2.167µs,0.000002167,56.33MB/s,59067835.71758191
Sha3_512,128,2.537µs,0.000002537,48.12MB/s,50453291.28892393
Sha224,128,3.08µs,0.00000308,39.63MB/s,41558441.55844156
Sha256,128,1.97µs,0.00000197,61.96MB/s,64974619.2893401
Sha384,128,1.931µs,0.000001931,63.22MB/s,66286897.98032108
Sha512,128,1.878µs,0.000001878,65.00MB/s,68157614.48349307
Sha512_224,128,1.412µs,0.000001412,86.45MB/s,90651558.0736544
Sha512_256,128,1.512µs,0.000001512,80.73MB/s,84656084.65608466
sm3,128,2.585µs,0.000002585,47.22MB/s,49516441.005802706
crc<u16>,128,787ns,0.000000787,155.11MB/s,162642947.90343076
crc<u32>,128,894ns,0.000000894,136.54MB/s,143176733.78076062
crc<u64>,128,1.644µs,0.000001644,74.25MB/s,77858880.7785888
crc16,128,679ns,0.000000679,179.78MB/s,188512518.40942562
crc32fast,128,282ns,0.000000282,432.87MB/s,453900709.21985817
crc64,128,1.356µs,0.000001356,90.02MB/s,94395280.2359882
sha256,128,2.368µs,0.000002368,51.55MB/s,54054054.05405405
twox_hash::XxHash32,128,193ns,0.000000193,632.49MB/s,663212435.2331606
twox_hash::XxHash64,128,179ns,0.000000179,681.96MB/s,715083798.8826816
twox_hash::XxHash3_64,128,410ns,0.00000041,297.73MB/s,312195121.9512195
twox_hash::XxHash3_128,128,368ns,0.000000368,331.71MB/s,347826086.95652175
seahash,128,244ns,0.000000244,500.29MB/s,524590163.93442625
xxhash::xxh32,128,244ns,0.000000244,500.29MB/s,524590163.93442625
xxhash::xxh64,128,259ns,0.000000259,471.31MB/s,494208494.2084942
xxhash::xxh3_64_with_seed,128,159ns,0.000000159,767.74MB/s,805031446.5408806
xxhash::xxh3_128_with_seed,128,195ns,0.000000195,626.00MB/s,656410256.4102564
xxhash::const_xxh32,128,329ns,0.000000329,371.03MB/s,389057750.7598784
xxhash::const_xxh64,128,364ns,0.000000364,335.36MB/s,351648351.64835167
xxhash::const_xxh3_64_with_seed,128,551ns,0.000000551,221.54MB/s,232304900.18148822
xxhash::const_xxh3_128_with_seed,128,811ns,0.000000811,150.52MB/s,157829839.70406905
murmur3_32,128,524ns,0.000000524,232.96MB/s,244274809.16030535
murmur3_x64_128,128,393ns,0.000000393,310.61MB/s,325699745.5470738
murmur3_x86_128,128,334ns,0.000000334,365.48MB/s,383233532.93413174
murmur3_32_of_slice,128,287ns,0.000000287,425.33MB/s,445993031.358885
murmur3_x64_128_of_slice,128,266ns,0.000000266,458.91MB/s,481203007.518797
